filename_hr,idx
records500/00000/00021_hr,6
records500/00000/00021_hr,7
records500/00000/00021_hr,8
records500/00000/00021_hr,9
records500/00000/00021_hr,10
records500/00000/00021_hr,11
records500/00000/00024_hr,0
records500/00000/00024_hr,1
records500/00000/00024_hr,2
records500/00000/00024_hr,3
records500/00000/00024_hr,4
records500/00000/00024_hr,5
records500/00000/00024_hr,6
records500/00000/00024_hr,7
records500/00000/00024_hr,8
records500/00000/00024_hr,9
records500/00000/00024_hr,10
records500/00000/00024_hr,11
records500/00000/00025_hr,6
records500/00000/00025_hr,7
records500/00000/00025_hr,9
records500/00000/00025_hr,10
records500/00000/00025_hr,11
records500/00000/00029_hr,0
records500/00000/00029_hr,1
records500/00000/00029_hr,2
records500/00000/00029_hr,3
records500/00000/00029_hr,4
records500/00000/00029_hr,5
records500/00000/00029_hr,6
records500/00000/00029_hr,7
records500/00000/00029_hr,8
records500/00000/00029_hr,9
records500/00000/00029_hr,10
records500/00000/00029_hr,11
records500/00000/00031_hr,0
records500/00000/00031_hr,1
records500/00000/00031_hr,2
records500/00000/00031_hr,3
records500/00000/00031_hr,4
records500/00000/00031_hr,5
records500/00000/00031_hr,6
records500/00000/00031_hr,7
records500/00000/00031_hr,8
records500/00000/00031_hr,9
records500/00000/00031_hr,10
records500/00000/00031_hr,11
records500/00000/00033_hr,0
records500/00000/00033_hr,1
records500/00000/00033_hr,2
records500/00000/00033_hr,3
records500/00000/00033_hr,4
records500/00000/00033_hr,5
records500/00000/00033_hr,6
records500/00000/00033_hr,7
records500/00000/00033_hr,8
records500/00000/00033_hr,9
records500/00000/00033_hr,10
records500/00000/00033_hr,11
records500/00000/00035_hr,0
records500/00000/00035_hr,1
records500/00000/00035_hr,2
records500/00000/00035_hr,3
records500/00000/00035_hr,4
records500/00000/00035_hr,5
records500/00000/00035_hr,6
records500/00000/00035_hr,7
records500/00000/00035_hr,8
records500/00000/00035_hr,9
records500/00000/00035_hr,10
records500/00000/00035_hr,11
records500/00000/00036_hr,4
records500/00000/00036_hr,5
records500/00000/00036_hr,6
records500/00000/00036_hr,7
records500/00000/00036_hr,8
records500/00000/00036_hr,9
records500/00000/00036_hr,10
records500/00000/00036_hr,11
records500/00000/00042_hr,0
records500/00000/00042_hr,1
records500/00000/00042_hr,2
records500/00000/00042_hr,3
records500/00000/00042_hr,4
records500/00000/00042_hr,5
records500/00000/00042_hr,6
records500/00000/00042_hr,7
records500/00000/00042_hr,8
records500/00000/00042_hr,9
records500/00000/00042_hr,10
records500/00000/00042_hr,11
records500/00000/00043_hr,0
records500/00000/00043_hr,1
records500/00000/00043_hr,2
records500/00000/00043_hr,3
records500/00000/00043_hr,4
records500/00000/00043_hr,5
records500/00000/00043_hr,6
records500/00000/00043_hr,7
records500/00000/00043_hr,8
records500/00000/00043_hr,9
records500/00000/00043_hr,10
records500/00000/00043_hr,11
records500/00000/00044_hr,0
records500/00000/00044_hr,1
records500/00000/00044_hr,2
records500/00000/00044_hr,3
records500/00000/00044_hr,4
records500/00000/00044_hr,5
records500/00000/00044_hr,6
records500/00000/00044_hr,7
records500/00000/00044_hr,8
records500/00000/00044_hr,9
records500/00000/00044_hr,10
records500/00000/00044_hr,11
records500/00000/00046_hr,0
records500/00000/00046_hr,1
records500/00000/00046_hr,2
records500/00000/00046_hr,3
records500/00000/00046_hr,4
records500/00000/00046_hr,5
records500/00000/00046_hr,6
records500/00000/00046_hr,7
records500/00000/00046_hr,8
records500/00000/00046_hr,9
records500/00000/00046_hr,10
records500/00000/00046_hr,11
records500/00000/00047_hr,7
records500/00000/00047_hr,8
records500/00000/00047_hr,9
records500/00000/00047_hr,10
records500/00000/00047_hr,11
records500/00000/00051_hr,4
records500/00000/00051_hr,5
records500/00000/00051_hr,6
records500/00000/00051_hr,7
records500/00000/00051_hr,8
records500/00000/00051_hr,9
records500/00000/00051_hr,10
records500/00000/00051_hr,11
records500/00000/00053_hr,0
records500/00000/00053_hr,1
records500/00000/00053_hr,2
records500/00000/00053_hr,3
records500/00000/00053_hr,4
records500/00000/00053_hr,5
records500/00000/00053_hr,6
records500/00000/00053_hr,7
records500/00000/00053_hr,8
records500/00000/00053_hr,9
records500/00000/00053_hr,10
records500/00000/00053_hr,11
records500/00000/00055_hr,0
records500/00000/00055_hr,1
records500/00000/00055_hr,2
records500/00000/00055_hr,3
records500/00000/00055_hr,4
records500/00000/00055_hr,5
records500/00000/00055_hr,6
records500/00000/00055_hr,7
records500/00000/00055_hr,8
records500/00000/00055_hr,9
records500/00000/00055_hr,10
records500/00000/00055_hr,11
records500/00000/00056_hr,6
records500/00000/00056_hr,7
records500/00000/00056_hr,8
records500/00000/00056_hr,9
records500/00000/00056_hr,10
records500/00000/00056_hr,11
records500/00000/00058_hr,7
records500/00000/00058_hr,8
records500/00000/00058_hr,9
records500/00000/00058_hr,10
records500/00000/00058_hr,11
records500/00000/00061_hr,0
records500/00000/00061_hr,1
records500/00000/00061_hr,2
records500/00000/00061_hr,3
records500/00000/00061_hr,4
records500/00000/00061_hr,5
records500/00000/00061_hr,6
records500/00000/00061_hr,7
records500/00000/00061_hr,8
records500/00000/00061_hr,9
records500/00000/00061_hr,10
records500/00000/00061_hr,11
records500/00000/00062_hr,0
records500/00000/00062_hr,1
records500/00000/00062_hr,2
records500/00000/00062_hr,3
records500/00000/00062_hr,4
records500/00000/00062_hr,5
records500/00000/00062_hr,6
records500/00000/00062_hr,7
records500/00000/00062_hr,8
records500/00000/00062_hr,9
records500/00000/00062_hr,10
records500/00000/00062_hr,11
records500/00000/00066_hr,0
records500/00000/00066_hr,1
records500/00000/00066_hr,2
records500/00000/00066_hr,3
records500/00000/00066_hr,4
records500/00000/00066_hr,5
records500/00000/00066_hr,6
records500/00000/00066_hr,7
records500/00000/00066_hr,8
records500/00000/00066_hr,9
records500/00000/00066_hr,10
records500/00000/00066_hr,11
records500/00000/00067_hr,0
records500/00000/00067_hr,1
records500/00000/00067_hr,2
records500/00000/00067_hr,3
records500/00000/00067_hr,4
records500/00000/00067_hr,5
records500/00000/00067_hr,6
records500/00000/00067_hr,7
records500/00000/00067_hr,8
records500/00000/00067_hr,9
records500/00000/00067_hr,10
records500/00000/00067_hr,11
records500/00000/00069_hr,0
records500/00000/00069_hr,1
records500/00000/00069_hr,3
records500/00000/00069_hr,4
records500/00000/00069_hr,6
records500/00000/00069_hr,7
records500/00000/00069_hr,8
records500/00000/00069_hr,9
records500/00000/00069_hr,10
records500/00000/00069_hr,11
records500/00000/00070_hr,0
records500/00000/00070_hr,1
records500/00000/00070_hr,2
records500/00000/00070_hr,3
records500/00000/00070_hr,4
records500/00000/00070_hr,5
records500/00000/00070_hr,6
records500/00000/00070_hr,7
records500/00000/00070_hr,8
records500/00000/00070_hr,9
records500/00000/00070_hr,10
records500/00000/00070_hr,11
records500/00000/00071_hr,0
records500/00000/00071_hr,1
records500/00000/00071_hr,2
records500/00000/00071_hr,3
records500/00000/00071_hr,4
records500/00000/00071_hr,5
records500/00000/00071_hr,6
records500/00000/00071_hr,7
records500/00000/00071_hr,8
records500/00000/00071_hr,9
records500/00000/00071_hr,10
records500/00000/00071_hr,11
records500/00000/00072_hr,6
records500/00000/00072_hr,7
records500/00000/00072_hr,8
records500/00000/00072_hr,9
records500/00000/00072_hr,10
records500/00000/00072_hr,11
records500/00000/00073_hr,0
records500/00000/00073_hr,1
records500/00000/00073_hr,2
records500/00000/00073_hr,3
records500/00000/00073_hr,4
records500/00000/00073_hr,5
records500/00000/00073_hr,6
records500/00000/00073_hr,7
records500/00000/00073_hr,8
records500/00000/00073_hr,9
records500/00000/00073_hr,10
records500/00000/00073_hr,11
records500/00000/00074_hr,0
records500/00000/00074_hr,1
records500/00000/00074_hr,2
records500/00000/00074_hr,3
records500/00000/00074_hr,4
records500/00000/00074_hr,5
records500/00000/00074_hr,6
records500/00000/00074_hr,7
records500/00000/00074_hr,8
records500/00000/00074_hr,9
records500/00000/00074_hr,10
records500/00000/00074_hr,11
records500/00000/00081_hr,0
records500/00000/00081_hr,1
records500/00000/00081_hr,3
records500/00000/00081_hr,4
records500/00000/00081_hr,5
records500/00000/00081_hr,6
records500/00000/00081_hr,7
records500/00000/00081_hr,9
records500/00000/00081_hr,10
records500/00000/00082_hr,4
records500/00000/00082_hr,5
records500/00000/00082_hr,6
records500/00000/00082_hr,7
records500/00000/00082_hr,8
records500/00000/00082_hr,9
records500/00000/00082_hr,10
records500/00000/00082_hr,11
records500/00000/00083_hr,4
records500/00000/00083_hr,5
records500/00000/00083_hr,6
records500/00000/00083_hr,7
records500/00000/00083_hr,8
records500/00000/00083_hr,9
records500/00000/00083_hr,10
records500/00000/00083_hr,11
records500/00000/00084_hr,0
records500/00000/00084_hr,1
records500/00000/00084_hr,2
records500/00000/00084_hr,3
records500/00000/00084_hr,4
records500/00000/00084_hr,5
records500/00000/00084_hr,6
records500/00000/00084_hr,7
records500/00000/00084_hr,8
records500/00000/00084_hr,9
records500/00000/00084_hr,10
records500/00000/00084_hr,11
records500/00000/00085_hr,0
records500/00000/00085_hr,1
records500/00000/00085_hr,2
records500/00000/00085_hr,3
records500/00000/00085_hr,4
records500/00000/00085_hr,5
records500/00000/00085_hr,6
records500/00000/00085_hr,7
records500/00000/00085_hr,8
records500/00000/00085_hr,9
records500/00000/00085_hr,10
records500/00000/00085_hr,11
records500/00000/00086_hr,0
records500/00000/00086_hr,1
records500/00000/00086_hr,2
records500/00000/00086_hr,3
records500/00000/00086_hr,4
records500/00000/00086_hr,5
records500/00000/00086_hr,6
records500/00000/00086_hr,7
records500/00000/00086_hr,8
records500/00000/00086_hr,9
records500/00000/00086_hr,10
records500/00000/00086_hr,11
records500/00000/00088_hr,0
records500/00000/00088_hr,1
records500/00000/00088_hr,2
records500/00000/00088_hr,3
records500/00000/00088_hr,4
records500/00000/00088_hr,5
records500/00000/00088_hr,6
records500/00000/00088_hr,7
records500/00000/00088_hr,8
records500/00000/00088_hr,9
records500/00000/00088_hr,10
records500/00000/00088_hr,11
records500/00000/00089_hr,0
records500/00000/00089_hr,1
records500/00000/00089_hr,2
records500/00000/00089_hr,3
records500/00000/00089_hr,4
records500/00000/00089_hr,5
records500/00000/00089_hr,6
records500/00000/00089_hr,7
records500/00000/00089_hr,8
records500/00000/00089_hr,9
records500/00000/00089_hr,10
records500/00000/00089_hr,11
records500/00000/00090_hr,4
records500/00000/00090_hr,5
records500/00000/00090_hr,6
records500/00000/00090_hr,7
records500/00000/00090_hr,8
records500/00000/00090_hr,9
records500/00000/00090_hr,10
records500/00000/00090_hr,11
records500/00000/00091_hr,4
records500/00000/00091_hr,5
records500/00000/00091_hr,6
records500/00000/00091_hr,7
records500/00000/00091_hr,8
records500/00000/00091_hr,9
records500/00000/00091_hr,10
records500/00000/00091_hr,11
records500/00000/00092_hr,4
records500/00000/00092_hr,5
records500/00000/00092_hr,6
records500/00000/00092_hr,7
records500/00000/00092_hr,8
records500/00000/00092_hr,9
records500/00000/00092_hr,10
records500/00000/00092_hr,11
records500/00000/00094_hr,0
records500/00000/00094_hr,1
records500/00000/00094_hr,2
records500/00000/00094_hr,3
records500/00000/00094_hr,4
records500/00000/00094_hr,5
records500/00000/00094_hr,6
records500/00000/00094_hr,7
records500/00000/00094_hr,8
records500/00000/00094_hr,9
records500/00000/00094_hr,10
records500/00000/00094_hr,11
records500/00000/00095_hr,0
records500/00000/00095_hr,1
records500/00000/00095_hr,2
records500/00000/00095_hr,3
records500/00000/00095_hr,4
records500/00000/00095_hr,5
records500/00000/00095_hr,6
records500/00000/00095_hr,7
records500/00000/00095_hr,8
records500/00000/00095_hr,9
records500/00000/00095_hr,10
records500/00000/00095_hr,11
records500/00000/00098_hr,0
records500/00000/00098_hr,1
records500/00000/00098_hr,2
records500/00000/00098_hr,3
records500/00000/00098_hr,4
records500/00000/00098_hr,5
records500/00000/00098_hr,6
records500/00000/00098_hr,7
records500/00000/00098_hr,8
records500/00000/00098_hr,9
records500/00000/00098_hr,10
records500/00000/00098_hr,11
records500/00000/00099_hr,0
records500/00000/00099_hr,1
records500/00000/00099_hr,2
records500/00000/00099_hr,3
records500/00000/00099_hr,4
records500/00000/00099_hr,5
records500/00000/00099_hr,6
records500/00000/00099_hr,7
records500/00000/00099_hr,8
records500/00000/00099_hr,9
records500/00000/00099_hr,10
records500/00000/00099_hr,11
records500/00000/00101_hr,6
records500/00000/00101_hr,7
records500/00000/00101_hr,8
records500/00000/00101_hr,9
records500/00000/00101_hr,10
records500/00000/00101_hr,11
records500/00000/00104_hr,0
records500/00000/00104_hr,1
records500/00000/00104_hr,2
records500/00000/00104_hr,3
records500/00000/00104_hr,4
records500/00000/00104_hr,5
records500/00000/00104_hr,6
records500/00000/00104_hr,7
records500/00000/00104_hr,8
records500/00000/00104_hr,9
records500/00000/00104_hr,10
records500/00000/00104_hr,11
records500/00000/00105_hr,8
records500/00000/00105_hr,9
records500/00000/00105_hr,10
records500/00000/00105_hr,11
records500/00000/00109_hr,0
records500/00000/00109_hr,1
records500/00000/00109_hr,2
records500/00000/00109_hr,3
records500/00000/00109_hr,4
records500/00000/00109_hr,5
records500/00000/00109_hr,6
records500/00000/00109_hr,7
records500/00000/00109_hr,8
records500/00000/00109_hr,9
records500/00000/00109_hr,10
records500/00000/00109_hr,11
records500/00000/00110_hr,0
records500/00000/00110_hr,1
records500/00000/00110_hr,3
records500/00000/00110_hr,4
records500/00000/00110_hr,6
records500/00000/00110_hr,7
records500/00000/00110_hr,8
records500/00000/00110_hr,9
records500/00000/00110_hr,10
records500/00000/00110_hr,11
records500/00000/00111_hr,0
records500/00000/00111_hr,1
records500/00000/00111_hr,2
records500/00000/00111_hr,3
records500/00000/00111_hr,4
records500/00000/00111_hr,5
records500/00000/00111_hr,6
records500/00000/00111_hr,7
records500/00000/00111_hr,8
records500/00000/00111_hr,9
records500/00000/00111_hr,10
records500/00000/00111_hr,11
records500/00000/00113_hr,0
records500/00000/00113_hr,1
records500/00000/00113_hr,2
records500/00000/00113_hr,3
records500/00000/00113_hr,4
records500/00000/00113_hr,5
records500/00000/00113_hr,6
records500/00000/00113_hr,7
records500/00000/00113_hr,8
records500/00000/00113_hr,9
records500/00000/00113_hr,10
records500/00000/00113_hr,11
records500/00000/00114_hr,0
records500/00000/00114_hr,1
records500/00000/00114_hr,2
records500/00000/00114_hr,3
records500/00000/00114_hr,4
records500/00000/00114_hr,5
records500/00000/00114_hr,6
records500/00000/00114_hr,7
records500/00000/00114_hr,8
records500/00000/00114_hr,9
records500/00000/00114_hr,10
records500/00000/00114_hr,11
records500/00000/00123_hr,7
records500/00000/00123_hr,8
records500/00000/00123_hr,9
records500/00000/00123_hr,10
records500/00000/00123_hr,11
records500/00000/00124_hr,0
records500/00000/00124_hr,1
records500/00000/00124_hr,2
records500/00000/00124_hr,3
records500/00000/00124_hr,4
records500/00000/00124_hr,5
records500/00000/00124_hr,6
records500/00000/00124_hr,7
records500/00000/00124_hr,8
records500/00000/00124_hr,9
records500/00000/00124_hr,10
records500/00000/00124_hr,11
records500/00000/00125_hr,0
records500/00000/00125_hr,1
records500/00000/00125_hr,2
records500/00000/00125_hr,3
records500/00000/00125_hr,4
records500/00000/00125_hr,5
records500/00000/00125_hr,6
records500/00000/00125_hr,7
records500/00000/00125_hr,8
records500/00000/00125_hr,9
records500/00000/00125_hr,10
records500/00000/00125_hr,11
records500/00000/00126_hr,0
records500/00000/00126_hr,1
records500/00000/00126_hr,2
records500/00000/00126_hr,3
records500/00000/00126_hr,4
records500/00000/00126_hr,5
records500/00000/00126_hr,6
records500/00000/00126_hr,7
records500/00000/00126_hr,8
records500/00000/00126_hr,9
records500/00000/00126_hr,10
records500/00000/00126_hr,11
records500/00000/00136_hr,0
records500/00000/00136_hr,1
records500/00000/00136_hr,2
records500/00000/00136_hr,3
records500/00000/00136_hr,4
records500/00000/00136_hr,5
records500/00000/00136_hr,6
records500/00000/00136_hr,7
records500/00000/00136_hr,8
records500/00000/00136_hr,9
records500/00000/00136_hr,10
records500/00000/00136_hr,11
records500/00000/00147_hr,0
records500/00000/00147_hr,1
records500/00000/00147_hr,2
records500/00000/00147_hr,3
records500/00000/00147_hr,4
records500/00000/00147_hr,5
records500/00000/00147_hr,6
records500/00000/00147_hr,7
records500/00000/00147_hr,8
records500/00000/00147_hr,9
records500/00000/00147_hr,10
records500/00000/00147_hr,11
records500/00000/00150_hr,6
records500/00000/00150_hr,7
records500/00000/00150_hr,8
records500/00000/00150_hr,9
records500/00000/00150_hr,10
records500/00000/00150_hr,11
records500/00000/00151_hr,0
records500/00000/00151_hr,1
records500/00000/00151_hr,2
records500/00000/00151_hr,3
records500/00000/00151_hr,4
records500/00000/00151_hr,5
records500/00000/00151_hr,6
records500/00000/00151_hr,7
records500/00000/00151_hr,8
records500/00000/00151_hr,9
records500/00000/00151_hr,10
records500/00000/00151_hr,11
records500/00000/00156_hr,0
records500/00000/00156_hr,1
records500/00000/00156_hr,2
records500/00000/00156_hr,3
records500/00000/00156_hr,4
records500/00000/00156_hr,5
records500/00000/00156_hr,6
records500/00000/00156_hr,7
records500/00000/00156_hr,8
records500/00000/00156_hr,9
records500/00000/00156_hr,10
records500/00000/00156_hr,11
records500/00000/00158_hr,0
records500/00000/00158_hr,1
records500/00000/00158_hr,2
records500/00000/00158_hr,3
records500/00000/00158_hr,4
records500/00000/00158_hr,5
records500/00000/00158_hr,6
records500/00000/00158_hr,7
records500/00000/00158_hr,8
records500/00000/00158_hr,9
records500/00000/00158_hr,10
records500/00000/00158_hr,11
records500/00000/00165_hr,0
records500/00000/00165_hr,1
records500/00000/00165_hr,3
records500/00000/00165_hr,5
records500/00000/00165_hr,6
records500/00000/00165_hr,7
records500/00000/00165_hr,8
records500/00000/00165_hr,9
records500/00000/00165_hr,10
records500/00000/00165_hr,11
records500/00000/00178_hr,0
records500/00000/00178_hr,1
records500/00000/00178_hr,2
records500/00000/00178_hr,3
records500/00000/00178_hr,4
records500/00000/00178_hr,5
records500/00000/00178_hr,6
records500/00000/00178_hr,7
records500/00000/00178_hr,8
records500/00000/00178_hr,9
records500/00000/00178_hr,10
records500/00000/00178_hr,11
records500/00000/00179_hr,8
records500/00000/00179_hr,9
records500/00000/00179_hr,10
records500/00000/00179_hr,11
records500/00000/00183_hr,0
records500/00000/00183_hr,1
records500/00000/00183_hr,2
records500/00000/00183_hr,3
records500/00000/00183_hr,4
records500/00000/00183_hr,5
records500/00000/00183_hr,6
records500/00000/00183_hr,7
records500/00000/00183_hr,8
records500/00000/00183_hr,9
records500/00000/00183_hr,10
records500/00000/00183_hr,11
records500/00000/00185_hr,0
records500/00000/00185_hr,1
records500/00000/00185_hr,2
records500/00000/00185_hr,3
records500/00000/00185_hr,4
records500/00000/00185_hr,5
records500/00000/00185_hr,6
records500/00000/00185_hr,7
records500/00000/00185_hr,8
records500/00000/00185_hr,9
records500/00000/00185_hr,10
records500/00000/00185_hr,11
records500/00000/00193_hr,0
records500/00000/00193_hr,1
records500/00000/00193_hr,2
records500/00000/00193_hr,3
records500/00000/00193_hr,4
records500/00000/00193_hr,5
records500/00000/00193_hr,6
records500/00000/00193_hr,7
records500/00000/00193_hr,8
records500/00000/00193_hr,9
records500/00000/00193_hr,10
records500/00000/00193_hr,11
records500/00000/00194_hr,0
records500/00000/00194_hr,1
records500/00000/00194_hr,2
records500/00000/00194_hr,3
records500/00000/00194_hr,4
records500/00000/00194_hr,5
records500/00000/00194_hr,6
records500/00000/00194_hr,7
records500/00000/00194_hr,8
records500/00000/00194_hr,9
records500/00000/00194_hr,10
records500/00000/00194_hr,11
records500/00000/00196_hr,0
records500/00000/00196_hr,1
records500/00000/00196_hr,2
records500/00000/00196_hr,3
records500/00000/00196_hr,4
records500/00000/00196_hr,5
records500/00000/00196_hr,6
records500/00000/00196_hr,7
records500/00000/00196_hr,8
records500/00000/00196_hr,9
records500/00000/00196_hr,10
records500/00000/00196_hr,11
records500/00000/00197_hr,4
records500/00000/00197_hr,5
records500/00000/00197_hr,6
records500/00000/00197_hr,7
records500/00000/00197_hr,8
records500/00000/00197_hr,9
records500/00000/00197_hr,10
records500/00000/00197_hr,11
records500/00000/00198_hr,0
records500/00000/00198_hr,1
records500/00000/00198_hr,2
records500/00000/00198_hr,3
records500/00000/00198_hr,4
records500/00000/00198_hr,5
records500/00000/00198_hr,6
records500/00000/00198_hr,7
records500/00000/00198_hr,8
records500/00000/00198_hr,9
records500/00000/00198_hr,10
records500/00000/00198_hr,11
records500/00000/00200_hr,0
records500/00000/00202_hr,4
records500/00000/00202_hr,5
records500/00000/00202_hr,6
records500/00000/00202_hr,7
records500/00000/00202_hr,8
records500/00000/00202_hr,9
records500/00000/00202_hr,10
records500/00000/00202_hr,11
records500/00000/00204_hr,0
records500/00000/00204_hr,1
records500/00000/00204_hr,2
records500/00000/00204_hr,3
records500/00000/00204_hr,4
records500/00000/00204_hr,5
records500/00000/00204_hr,6
records500/00000/00204_hr,7
records500/00000/00204_hr,8
records500/00000/00204_hr,9
records500/00000/00204_hr,10
records500/00000/00204_hr,11
records500/00000/00205_hr,0
records500/00000/00205_hr,1
records500/00000/00205_hr,2
records500/00000/00205_hr,3
records500/00000/00205_hr,4
records500/00000/00205_hr,5
records500/00000/00205_hr,6
records500/00000/00205_hr,7
records500/00000/00205_hr,8
records500/00000/00205_hr,9
records500/00000/00205_hr,10
records500/00000/00205_hr,11
records500/00000/00206_hr,0
records500/00000/00206_hr,1
records500/00000/00206_hr,2
records500/00000/00206_hr,3
records500/00000/00206_hr,4
records500/00000/00206_hr,5
records500/00000/00206_hr,6
records500/00000/00206_hr,7
records500/00000/00206_hr,8
records500/00000/00206_hr,9
records500/00000/00206_hr,10
records500/00000/00206_hr,11
records500/00000/00212_hr,8
records500/00000/00212_hr,9
records500/00000/00212_hr,10
records500/00000/00212_hr,11
records500/00000/00213_hr,4
records500/00000/00213_hr,5
records500/00000/00213_hr,7
records500/00000/00213_hr,8
records500/00000/00213_hr,9
records500/00000/00213_hr,10
records500/00000/00213_hr,11
records500/00000/00214_hr,0
records500/00000/00214_hr,1
records500/00000/00214_hr,2
records500/00000/00214_hr,3
records500/00000/00214_hr,4
records500/00000/00214_hr,5
records500/00000/00214_hr,6
records500/00000/00214_hr,7
records500/00000/00214_hr,8
records500/00000/00214_hr,9
records500/00000/00214_hr,10
records500/00000/00214_hr,11
records500/00000/00215_hr,0
records500/00000/00215_hr,1
records500/00000/00215_hr,2
records500/00000/00215_hr,3
records500/00000/00215_hr,4
records500/00000/00215_hr,5
records500/00000/00215_hr,6
records500/00000/00215_hr,7
records500/00000/00215_hr,8
records500/00000/00215_hr,9
records500/00000/00215_hr,10
records500/00000/00215_hr,11
records500/00000/00216_hr,0
records500/00000/00216_hr,1
records500/00000/00216_hr,2
records500/00000/00216_hr,3
records500/00000/00216_hr,4
records500/00000/00216_hr,5
records500/00000/00216_hr,6
records500/00000/00216_hr,7
records500/00000/00216_hr,8
records500/00000/00216_hr,9
records500/00000/00216_hr,10
records500/00000/00216_hr,11
records500/00000/00221_hr,0
records500/00000/00221_hr,1
records500/00000/00221_hr,2
records500/00000/00221_hr,3
records500/00000/00221_hr,4
records500/00000/00221_hr,5
records500/00000/00221_hr,6
records500/00000/00221_hr,7
records500/00000/00221_hr,8
records500/00000/00221_hr,9
records500/00000/00221_hr,10
records500/00000/00221_hr,11
records500/00000/00224_hr,0
records500/00000/00224_hr,1
records500/00000/00224_hr,2
records500/00000/00224_hr,3
records500/00000/00224_hr,4
records500/00000/00224_hr,5
records500/00000/00224_hr,6
records500/00000/00224_hr,7
records500/00000/00224_hr,8
records500/00000/00224_hr,9
records500/00000/00224_hr,10
records500/00000/00224_hr,11
records500/00000/00225_hr,0
records500/00000/00225_hr,1
records500/00000/00225_hr,2
records500/00000/00225_hr,3
records500/00000/00225_hr,4
records500/00000/00225_hr,5
records500/00000/00225_hr,6
records500/00000/00225_hr,7
records500/00000/00225_hr,8
records500/00000/00225_hr,9
records500/00000/00225_hr,10
records500/00000/00225_hr,11
records500/00000/00227_hr,0
records500/00000/00227_hr,1
records500/00000/00227_hr,2
records500/00000/00227_hr,3
records500/00000/00227_hr,4
records500/00000/00227_hr,5
